BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,nmEstado,nmMunicipio,ResponsavelSigla,Codigo,Nome,Latitude,Longitude,Altitude,AreaDrenagem,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,Operando,TipoEstacao,TemChuva
4,49,,,ALAGOAS,SANTANA DO IPANEMA,SEMARH-AL,937006,Santana do Ipanema - MET,-9.3972,-37.2281,250,,2025-01-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,ÁGUA BRANCA,DNOCS,937007,ÁGUA BRANCA,-9.2833,-37.9333,510,,,,1,2,Sim
4,49,,,ALAGOAS,ÁGUA BRANCA,INMET,937008,ÁGUA BRANCA,-9.28,-37.9,605,,,,1,2,Sim
4,49,,,ALAGOAS,ÁGUA BRANCA,SUDENE,937009,ÁGUA BRANCA,-9.25,-37.9167,510,,,,0,2,Sim
4,49,,,ALAGOAS,BATALHA,SUDENE,937010,Batalha,-9.6667,-37.1333,120,,,,0,2,Sim
4,49,,,ALAGOAS,CACIMBINHAS,SUDENE,937011,CACIMBINHAS,-9.4,-37,300,,,,0,2,Sim
4,49,,,ALAGOAS,CANAPI,DNOCS,937012,CAPIA DA IGREJINHA,-9.1833,-37.4333,280,,,,1,2,Sim
4,49,,,ALAGOAS,DELMIRO GOUVÉIA,ANA,937013,DELMIRO GOUVÉIA,-9.3928,-37.9942,256,,,,1,2,Sim
4,49,,,ALAGOAS,MATA GRANDE,DNOCS,937014,MATA GRANDE,-9.1333,-37.7333,633,,,,1,2,Sim
4,49,,,ALAGOAS,MATA GRANDE,INMET,937015,MATA GRANDE,-9.1272,-37.72,635,,,,1,2,Sim
4,49,,,ALAGOAS,OLHO D'ÁGUA DAS FLO,SUDENE,937016,OLHO D'ÁGUA DAS FLORES,-9.5333,-37.2833,286,,,,0,2,Sim
4,49,,,ALAGOAS,OLHO D'ÁGUA DO CASA,SUDENE,937017,OLHO D'ÁGUA DO CASADO,-9.5167,-37.85,209,,,,0,2,Sim
4,49,,,ALAGOAS,PÃO DE AÇÚCAR,ANA,937018,PÃO DE AÇÚCAR,-9.7486,-37.4497,45,,2000-04-01 00:00:00,2019-02-01 00:00:00,1,2,Sim
4,49,,,ALAGOAS,PÃO DE AÇÚCAR,DNOCS,937019,PÃO DE AÇÚCAR,-9.7333,-37.4333,45,,,,1,2,Sim
4,49,,,ALAGOAS,PÃO DE AÇÚCAR,SUDENE,937021,PÃO DE AÇÚCAR,-9.7333,-37.4333,45,,,,0,2,Sim
4,49,,,ALAGOAS,PIRANHAS,DNOCS,937022,PIRANHAS,-9.65,-37.7667,110,,,,1,2,Sim
4,49,,,ALAGOAS,PIRANHAS,ANA,937023,PIRANHAS,-9.6261,-37.7561,110,,,,1,2,Sim
4,49,,,ALAGOAS,SANTANA DO IPANEMA,ANA,937032,SANTANA DO IPANEMA,-9.3728,-37.2453,250,,2012-08-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,PIRANHAS,CODEVASF,937033,PIRANHAS,-9.6333,-37.7667,,,,,0,2,Não
